ConsentTitle,Atualizámos os nossos termos
FTUE_Collection2,Bem-vindo à tua Coleção! Podes carregar em qualquer carta para a veres!
FTUE_Quests,Completa diferentes missões e obtém várias recompensas!
FTUE_Quest24,Novas Missões aparecem a cada 24 horas!
TapShowBoard,Toca aqui para veres a tabela!
TapToReturn,Toca para voltares!
TapToSkip,Toca para continuares!
AreYouSure,Tens a certeza?
YouLoseHeart,Vais perder 1 Coração!
YouWontLoseHeart,Não vais perder nenhum coração!
Quit,Sair
ShareMessage,Estou mais inteligente desde que jogo Pipes! 😍! Descarrega de:
Enter,Entrar
SelectChapter,Selecionar Capítulo
FTUE_Chapters,Aqui podes mudar de capítulo!
LevelsXY,Níveis de 1 a 20
Buy,Comprar
Refill,Encher
Get3Hints,Obter 3 pistas!
Get3IMs,Obter 3 movimentos infinitos!
GetFullHearts,Encher os teus corações até 5!
MoreOffers,Mais ofertas!
LockersExplain,Desbloqueado no nível 2
Rating,Tubos foi desenvolvido por uma equipa de dois programadores dedicados! Melhora o trabalho que aqui foi feito ao classificar o nosso jogo. Obrigado! <3
FTUE_Rotate2,Toca para rodar!
FTUE_AllPipes2,Usa todos os Tubos!
FTUE_WaterToPlants2,Tu tens movimentos limitados!
FTUE_Undo2,Carrega para voltar atrás!
FTUE_Hint2,Carrega para usar uma pista!
FTUE_IM2,Carrega para usar movimentos infinitos!
FTUE_Card2,Carta colecionada!
FTUE_Collection1_2,Carrega para ver a coleção!
FTUE_Store2,Encontra mais na Loja!
FTUE_Collection2_2,Carrega nas cartas para as veres!
FTUE_Quests2,Completa missões e recebe recompensas!
FTUE_Quest24_2,Novas Missões aparecem a cada 24 horas!
FTUE_Chapters_2,Carrega para selecionar um capítulo!
ChooseTwoGifts,Escolhe 2 recompensas!
TwoMoreGifts,Mais 2 recompensas!
OutOfHearts,Sem Corações!
TimeToNextHeart,Tempo para o próximo Coração:
RefillHearts,Reabastece Corações
RateUs,Classifica o nosso jogo
LoadCloudData,Carregar último nível salvo?
Retry,Tentar novamente
