ConsentTitle,我们更新了条款
Q_PlayLevelsForSomeSeconds,游戏关卡总时间为100分钟
Q_EarnScore,你的总分到达100分
Q_PlayLevelsForSomeSecondsContinuously,在不关闭游戏的情况下玩了100分钟
TapOnAllShapes,点击所有形状！
Awesome,太棒了!
Claim,声称
Collection,手机
FinishLevelX,完成关卡12
Settings,设置
Sounds,声音
Music,音乐
Vibration,震动
Achievements,成就
Full,全部
Store,商店
NoAds,支付12美元移除广告
RestorePurchases,恢复购买
XHours,12小时
Beginner,初学者礼包
Super,大礼包
Mega,超大礼包
Giant,超级礼包
Champion,冠军礼包
Legendary,传奇礼包
Sale,出售
MostPopular,最受欢迎的
BestValue,最划算的
LevelX,关卡12
Share,分享
OutOfMoves,步数用尽了
GetXMoves,获得5个步数以继续
VideoAd,视频
PlayOn,继续游戏
LevelFailed,关卡失败！
TryAgain,再次尝试
NoAdsTitle,广告
NoAdsButton,无广告
FTUE_Rotate,点击管道以旋转它们！
FTUE_AllPipes,你必须使用所有的管道！
FTUE_WaterToPlants,用你拥有的移动步数浇灌所有的植物！
FTUE_Undo,你总是可以撤销最后一步!
FTUE_Hint,你可以使用提示来解决一大部分的关卡！
FTUE_IM,你可以使你的步数变成无限制！
FTUE_Card,你必须收集卡片！
FTUE_Collection1,在收藏中可以查看你的卡片！
FTUE_Store,可以在商店中找到更多！
FTUE_Collection2,欢迎来到收藏！点击任意你的卡片来查看它们！
FTUE_Quests,完成不同的任务并获得不同的奖励！
FTUE_Quest24,新的任务每隔24小时会在此出现！
TapShowBoard,点击此处显示面板！
TapToReturn,点击返回！
TapToSkip,点击跳过！
AreYouSure,确定？
YouLoseHeart,你将失去1颗心！
YouWontLoseHeart,你将不会失去1颗心！
Quit,停止
ShareMessage,通过玩Pipes我更聪明了 😍！点击此处下载：
Enter,进入
SelectChapter,选择章节
FTUE_Chapters,你可通过此处在不同章节中切换！
LevelsXY,关卡1-20
Buy,购买
Refill,填满
Get3Hints,获得3个提示！
Get3IMs,获得3次无限移动！
GetFullHearts,将你的5颗心填满！
MoreOffers,更多的报价！
LockersExplain,在第二关解锁
Rating,《管道》是由2个充满激情的开发者团队开发的！通过给游戏评分来优化我们的工作。谢谢!＜3
FTUE_Rotate2,点击以旋转！
FTUE_AllPipes2,使用所有的管道！
FTUE_WaterToPlants2,你只有有限移动步数！
FTUE_Undo2,点击撤销！
FTUE_Hint2,使用1个提示！
FTUE_IM2,点击使用无限移动！
FTUE_Card2,收集卡片！
FTUE_Collection1_2,点击查看收集！
FTUE_Store2,在商店中探索更多！
FTUE_Collection2_2,单机卡片以查看它们！
FTUE_Quests2,完成任务并获得奖励！
FTUE_Quest24_2,每隔24小时有新的任务！
FTUE_Chapters_2,点击选择章节！
ChooseTwoGifts,选择 2 个礼物！
TwoMoreGifts,2 个礼物！
OutOfHearts,无心可用！
TimeToNextHeart,是时候来下一颗心了：
RefillHearts,重新填满心
RateUs,评价我们
LoadCloudData,加载最后保存的关卡?
Retry,再次尝试
