ConsentTitle,規約を更新しました。
NoAdsTitle,広告
NoAdsButton,広告無し
FTUE_Rotate,パイプをタップして回転！
FTUE_AllPipes,すべてのパイプを使おう！
FTUE_WaterToPlants,ムーブがあるだけ、多くの植物に水を与えよう！
FTUE_Undo,最後の一手はいつでも取り消すことができるよ！
FTUE_Hint,ヒントを使って問題を解決！
FTUE_IM,動きを無限にできるよ！
FTUE_Card,カードを取得したよ！
FTUE_Collection1,コレクションでいつでもカードを見ることができるよ！
FTUE_Store,ストアには様々な商品があるよ！
FTUE_Collection2,コレクションへようこそ！カードをタップして見よう！
FTUE_Quests,クエストをクリアして、様々な報酬を手に入れよう！
FTUE_Quest24,24時間毎に新しいクエストが登場するよ！
TapShowBoard,ここをタップするとボードが表示されるよ！
TapToReturn,タップで戻る！
TapToSkip,タップでスキップ！
AreYouSure,本当にいいの？
YouLoseHeart,ハートが1つ減りますよ！
YouWontLoseHeart,ハートが無くなりません！
Quit,終了
ShareMessage,パイプで賢くなったよ😍! ダウンロードはここから：
Enter,入り口
SelectChapter,チャプターを選択
FTUE_Chapters,ここでチャプターの切り替えができるよ！
LevelsXY,レベル1-20
Buy,購入
Refill,リフィル
Get3Hints,3つのヒントを手に入れよう！
Get3IMs,3つの無限ムーブを手に入れよう！
GetFullHearts,5つのハートをリフィル！
MoreOffers,その他のオファー！
LockersExplain,レベル2で解除
Rating,パイプは、2人の情熱的な開発者のチームによって開発されました！我々のゲームが評価されることにより、より洗練したゲームの開発を続けることができます。ありがとうございます！<3
FTUE_Rotate2,タップして回転！
FTUE_AllPipes2,すべてのパイプを使おう！
FTUE_WaterToPlants2,動きに制限があるよ！
FTUE_Undo2,タップすると元に戻ります！
FTUE_Hint2,タップしてヒントを表示！
FTUE_IM2,タップして無限ムーブを使おう！
FTUE_Card2,カードをゲット！
FTUE_Collection1_2,タップしてコレクションを見よう！
FTUE_Store2,ストアでもっと見る！
FTUE_Collection2_2,カードをタップして見てみよう！
FTUE_Quests2,クエストをクリアして報酬を手に入れよう！
FTUE_Quest24_2,24時間ごとに新しいクエストが登場！
FTUE_Chapters_2,タップしてチャプターを選ぶ！
ChooseTwoGifts,2つのギフトを選ぼう！
TwoMoreGifts,さらに2つのギフト！
OutOfHearts,ハートがありません！
TimeToNextHeart,次のハートまでの時間：
RefillHearts,ハートをリフィル
RateUs,私たちを評価してください
LoadCloudData,最後に保存したレベルをロードしますか？
Retry,もう一度
