ConsentTitle,لقد قمنا بتحديث شروطنا 
Sounds,اصوات 
Music,موسيقى 
Vibration,اهتزاز 
Achievements,إنجازات 
Full,ممتلىء 
Store,المتجر 
NoAds,ادفع ۱۲ دولارًا لإزالة الإعلانات من اللعبة 
RestorePurchases,استعادة المشتريات 
XHours,۱۲ ساعة 
Beginner,حزمة المبتدئين 
Super,حزمة السوبر 
Mega,حزمة ميجا 
Giant,الحزمة العملاقة 
Champion,حزمة البطل 
Legendary,الحزمة الأسطورية 
Sale,عروض 
MostPopular,الأكثر شهرة 
BestValue,القيمة الأفضل 
LevelX,المستوى ۱۲ 
Share,يشارك 
OutOfMoves,نفذت الحركات 
GetXMoves,احصل على ۵ حركات للمتابعة 
VideoAd,فيديو 
PlayOn,اللعب على 
LevelFailed,فشل المستوى! 
TryAgain,حاول مرة أخري 
NoAdsTitle,إعلانات 
NoAdsButton,بدون اعلانات 
FTUE_Rotate,اضغط على الأنابيب لتدويرها! 
FTUE_AllPipes,يجب عليك استخدام كل الأنابيب! 
FTUE_WaterToPlants,سقي جميع النباتات بعدد الحركات التي لديك! 
FTUE_Undo,يمكنك دائمًا التراجع عن حركتك الأخيرة! 
FTUE_Hint,يمكنك استخدام تلميح لحل جزء من المستوى! 
FTUE_IM,يمكنك أن تجعل حركاتك لا نهائية! 
FTUE_Card,لقد جمعت بطاقة! 
FTUE_Collection1,يمكنك دائمًا رؤية بطاقاتك في مجموعتك! 
FTUE_Store,يمكنك العثور على المزيد في المتجر! 
FTUE_Collection2,مرحبًا بك في مجموعتك! يمكنك النقر على أي من بطاقاتك لرؤيتها! 
FTUE_Quests,أكمل المهام المختلفة واحصل على مكافآت متنوعة! 
FTUE_Quest24,ستكون المهام الجديدة هنا كل ۲۴ ساعة! 
TapShowBoard,انقر هنا لترى اللوحة! 
TapToReturn,انقر للعودة! 
TapToSkip,انقر للتخطي! 
AreYouSure,هل أنت متأكد؟ 
YouLoseHeart,سوف تفقد قلب واحد! 
YouWontLoseHeart,لن تفقد أي قلوب! 
Quit,الخروج 
ShareMessage,أصبحت أكثر ذكاءً مع لعبة الأنابيب 😍! 
Enter,الدخول 
SelectChapter,اختر فصل 
FTUE_Chapters,يُمكنك التبديل بين الفصول هنا! 
LevelsXY,المستويات ۱-۲۰ 
Buy,اشتري 
Refill,إعادة تعبئة 
Get3Hints,احصل على ۳ تلميحات! 
Get3IMs,احصل على ۳ حركات لانهائية! 
GetFullHearts,إعادة تعبئة قلوبك إلى ۵! 
MoreOffers,المزيد من العروض! 
LockersExplain,تُفتح في المستوى رقم 2 
Rating,تم تطوير لعبة الأنابيب بواسطة فريق يتكون من اثنين من المطورين الشغوفين! سلط الضوء على هذا العمل الرائع عبر تقييمك للعبتنا! شكرًا لك 3> 
FTUE_Rotate2,انقر للتدوير! 
FTUE_AllPipes2,استخدم كل الأنابيب! 
FTUE_WaterToPlants2,لديك حركات محدودة! 
FTUE_Undo2,انقر لإلغاء الحركة! 
FTUE_Hint2,انقر لاستخدام تلميح! 
FTUE_IM2,انقر لاستخدام حركة لا نهائية! 
FTUE_Card2,تم تجميع البطاقة! 
FTUE_Collection1_2,انقر لترى المجموعة! 
FTUE_Store2,يمكنك إيجاد المزيد في المتجر! 
FTUE_Collection2_2,انقر على البطاقات لتتمكن من رؤيتهم! 
FTUE_Quests2,أكمل المهمات واحصل على مكافأت! 
FTUE_Quest24_2,مهمات جديدة كل ۲۴ ساعة! 
FTUE_Chapters_2,انقر لاختيار فصل! 
ChooseTwoGifts,اختر هديتين! 
TwoMoreGifts,هديتين إضافيتين! 
OutOfHearts,انتهت القلوب! 
TimeToNextHeart,حان وقت القلب التالي: 
RefillHearts,إعادة تعبئة القلوب 
RateUs,قم بتقييمنا
LoadCloudData,حمل آخر مستوى محفو؟ 
Retry,حاول مرة أخرى 
