ConsentTitle,Hemos actualizado nuestros términos
Share,Compartir
OutOfMoves,Sin movimientos
GetXMoves,Obtén 5 movimientos para seguir
VideoAd,Video
PlayOn,Continuar jugando
LevelFailed,¡Nivel fallido!
TryAgain,Intentar de nuevo
NoAdsTitle,ANUNCIOS
NoAdsButton,SIN ANUNCIOS
FTUE_Rotate,¡Toca las tuberías para rotarlas!
FTUE_AllPipes,¡Debes usar todas las tuberías!
FTUE_WaterToPlants,¡Nutre todas las plantas con los movimientos que tienes!
FTUE_Undo,¡Siempre puedes deshacer tu último movimiento!
FTUE_Hint,¡Puedes usar una pista para resolver una parte del nivel!
FTUE_IM,¡Puedes hacer que tus movimientos sean infinitos!
FTUE_Card,¡Has recolectado una carta!
FTUE_Collection1,¡Siempre puedes ver tus cartas en tu colección!
FTUE_Store,¡Puedes encontrar más en la tienda!
FTUE_Collection2,¡Bienvenido a tu colección! ¡Puedes tocar cualquiera de tus cartas para verla!
FTUE_Quests,¡Completa diferentes misiones y obtén varias recompensas!
FTUE_Quest24,¡Habrá nuevas misiones cada 24 horas!
TapShowBoard,¡Toca aquí para ver la tabla!
TapToReturn,¡Toca para volver!
TapToSkip,¡Toca para saltar!
AreYouSure,¿Estás seguro?
YouLoseHeart,¡Perderás un corazón!
YouWontLoseHeart,¡No perderás ningún corazón!
Quit,Salir
ShareMessage,¡Me estoy poniendo más listo con Pipes 😍! Descarga desde:
Enter,Ingresar
SelectChapter,Seleccionar capítulo
FTUE_Chapters,¡Aquí puedes cambiar entre capítulos!
LevelsXY,Niveles 1 al 20
Buy,Comprar
Refill,Recargar
Get3Hints,¡Obtener 3 pistas!
Get3IMs,¡Obtener 3 movimientos infinitos!
GetFullHearts,¡Recargar tus corazones hasta 5!
MoreOffers,¡Más ofertas!
LockersExplain,Desbloqueo en nivel 2
Rating,¡Tuberías fue desarrollado por un equipo de dos desarrolladores apasionados! Abrillanta el trabajo que hicimos aquí calificando nuestro juego. ¡Gracias! <3
FTUE_Rotate2,¡Toca para rotar!
FTUE_AllPipes2,¡Usa todas las tuberías!
FTUE_WaterToPlants2,¡Tienes movimientos limitados!
FTUE_Undo2,¡Toca para deshacer!
FTUE_Hint2,¡Toca para usar una pista!
FTUE_IM2,¡Toca para usar un movimiento infinito!
FTUE_Card2,¡Carta recolectada!
FTUE_Collection1_2,¡Toca para ver la colección!
FTUE_Store2,¡Encuentra más en la tienda!
FTUE_Collection2_2,¡Toca las cartas para verlas!
FTUE_Quests2,¡Completa misiones y recibe recompensas!
FTUE_Quest24_2,¡Nuevas misiones cada 24 horas!
FTUE_Chapters_2,¡Toca para seleccionar un capítulo!
ChooseTwoGifts,¡Elige 2 regalos!
TwoMoreGifts,¡2 regalos más!
OutOfHearts,¡Sin corazones!
TimeToNextHeart,Hora del siguiente corazón:
RefillHearts,Recargar corazones
RateUs,Califícanos
LoadCloudData,¿Cargar último nivel guardado?
Retry,Intentar de nuevo
