ConsentTitle,Atualizamos os nossos termos
AreYouSure,Tem certeza?
YouLoseHeart,Vai perder 1 coração!
YouWontLoseHeart,Não vai perder um coração!
Quit,Sair
ShareMessage,Estou mais inteligente desde que comecei a jogar Tubos! 😍 Baixe:
Enter,Entrar
SelectChapter,Selecionar Capítulo
FTUE_Chapters,Aqui você pode trocar de capítulo!
LevelsXY,Níveis de 1 a 20
Buy,Comprar
Refill,Encher
Get3Hints,Obter 3 pistas!
Get3IMs,Obter 3 movimentos infinitos!
GetFullHearts,Encher os seus corações até 5!
MoreOffers,Mais ofertas!
LockersExplain,Desbloqueado no nível 2
Rating,Tubos foi desenvolvido por uma equipe de dois programadores dedicados! Melhore o trabalho que foi feito aqui avaliando o nosso jogo. Obrigado! <3
FTUE_Rotate2,Toque para rodar!
FTUE_AllPipes2,Use todos os Tubos!
FTUE_WaterToPlants2,Você tem movimentos limitados!
FTUE_Undo2,Toque para voltar atrás!
FTUE_Hint2,Toque para usar uma pista!
FTUE_IM2,Toque para usar movimentos infinitos!
FTUE_Card2,Carta colecionada!
FTUE_Collection1_2,Toque para ver a coleção!
FTUE_Store2,Encontre mais na Loja!
FTUE_Collection2_2,Toque nas cartas para vê-las!
FTUE_Quests2,Complete missões e receba recompensas!
FTUE_Quest24_2,Novas Missões aparecem a cada 24 horas!
FTUE_Chapters_2,Toque para selecionar um capítulo!
ChooseTwoGifts,Escolha 2 recompensas!
TwoMoreGifts,Mais 2 recompensas!
OutOfHearts,Sem Corações!
TimeToNextHeart,Tempo para o próximo Coração:
RefillHearts,Reabasteça Corações
RateUs,Avalie o nosso jogo
LoadCloudData,Carregar última fase salva?
Retry,Tentar novamente
