ConsentTitle,Olemme päivittäneet ehtomme
Sale,Ale
MostPopular,Suosituimmat
BestValue,Arvokkain
LevelX,Taso 12
Share,Jaa
OutOfMoves,Ei enää siirtoja
GetXMoves,Hanki 5 siirtoa jatkaaksesi
VideoAd,Video
PlayOn,Jatka pelaamista
LevelFailed,Taso epäonnistui!
TryAgain,Yritä uudelleen
NoAdsTitle,MAINOKSET
NoAdsButton,EI MAINOKSIA
FTUE_Rotate,Napauta putkia kiertääksesi niitä!
FTUE_AllPipes,Sinun täytyy käyttää kaikki putket!
FTUE_WaterToPlants,Kastele kaikki kasvit jäljellä olevilla siirroilla!
FTUE_Undo,Voit aina kumota edellisen siirron!
FTUE_Hint,Voit käyttää vihjettä ratkaistaksesi osan tasosta!
FTUE_IM,Voit tehdä siirroistasi loputtomia!
FTUE_Card,Olet löytänyt keräilykortin!
FTUE_Collection1,Voit katsoa korttejasi kokoelmasta!
FTUE_Store,Löydät lisää kaupasta!
FTUE_Collection2,Tervetuloa kokoelmaan! Voit napauttaa mitä tahansa korttia nähdäksesi sen!
FTUE_Quests,Suorita erilaisia tehtäviä ja saat erilaisia palkintoja!
FTUE_Quest24,Uusia tehtäviä on saatavilla 24 tunnin välein!
TapShowBoard,Napauta palataksesi peliin!
TapToReturn,Napauta palataksesi!
TapToSkip,Napauta ohittaaksesi!
AreYouSure,Oletko varma?
YouLoseHeart,Menetät 1 sydämen!
YouWontLoseHeart,Et menetä sydäntä!
Quit,Lopeta
ShareMessage,Alan tulla fiksummaksi Pipes-pelin myötä 😍! Lataa täältä:
Enter,Siirry
SelectChapter,Valitse kappale
FTUE_Chapters,Voit vaihtaa tästä kappaleiden välillä!
LevelsXY,Tasot 1-20
Buy,Osta
Refill,Täytä
Get3Hints,Hanki 3 vihjettä!
Get3IMs,Hanki 3 loputonta siirtoa!
GetFullHearts,Täytä 5 sydäntä!
MoreOffers,Lisää tarjouksia!
LockersExplain,Avautuu tasolla 2
Rating,Pipes on kahden intohimoisen kehittäjän työn tulos! Arvosta tekemäämme työtä arvostelemalla peli. Kiitos! <3 
FTUE_Rotate2,Napauta kiertääksesi!
FTUE_AllPipes2,Käytä kaikki putket!
FTUE_WaterToPlants2,Sinulla on rajallinen määrä siirtoja!
FTUE_Undo2,Napauta kumotaksesi!
FTUE_Hint2,Napauta käyttääksesi vihjeen!
FTUE_IM2,Napauta käyttääksesi loputtoman siirron!
FTUE_Card2,Kortti kerätty!
FTUE_Collection1_2,Napauta nähdäksesi kokoelman!
FTUE_Store2,Katso lisää kaupasta!
FTUE_Collection2_2,Napauta kortteja nähdäksesi ne!
FTUE_Quests2,Suorita tehtäviä ja saat palkintoja!
FTUE_Quest24_2,Uusia tehtäviä 24 tunnin välein!
FTUE_Chapters_2,Napauta valitaksesi kappaleen!
ChooseTwoGifts,Valitse 2 lahjaa!
TwoMoreGifts,2 lahjaa lisää!
OutOfHearts,Sydämet loppu!
TimeToNextHeart,Aikaa seuraavaan sydämeen:
RefillHearts,Täytä sydämet
RateUs,Arvostele meidät
LoadCloudData,Lataa viimeksi tallennettu taso?
Retry,Yritä uudelleen
